Frequency,Bmax,peak
0,0.0,0.0
5,70.0,98.99494936611666
10,70.0,98.99494936611666
15,70.0,98.99494936611666
20,70.0,98.99494936611666
25,70.0,98.99494936611666
30,70.0,98.99494936611666
35,70.0,98.99494936611666
40,70.0,98.99494936611666
45,70.0,98.99494936611666
50,70.0,98.99494936611666
55,70.0,98.99494936611666
60,70.0,98.99494936611666
65,60.0,84.8528137423857
70,60.0,84.8528137423857
75,60.0,84.8528137423857
80,60.0,84.8528137423857
85,60.0,84.8528137423857
90,60.0,84.8528137423857
95,56.81328874,80.34612345912664
100,53.9726243,76.32881728192768
150,35.98174953,50.88587818323774
200,26.98631215,38.16440864096384
250,21.58904972,30.53152691277107
300,17.99087477,25.44293909868994
